"par","descrip"
"1","Jefe (a)"
"2","Cónyuge"
"3","Hijos (propios y adoptivos)"
"4","Padres, abuelos, bisabuelos, suegros"
"5","Nietos, bisnietos, yernos, nueras"
"6","Hermanos, hermanastros"
"7","Otros parientes del jefe (tios, primos, sobrinos, cuñados, concuños)"
"8","No parientes (amigos, compadres)"
"9","Otros no parientes (trabajadores domésticos"
