"POS","descrip"
"1
","jornalero(a) o peón?"
"2
","empleado(a) u obrero(a)?"
"3
","trabajador(a) por su cuenta?(no contrata trabajadores)"
"4
","patrón(a) o empleador(a)? (contrata trabajadores)"
"5
","trabajador(a) sin pago?"
"9
","No especificado"
