AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2018,1,AGUASCALIENTES,AGUASCALIENTES,249,97,152,0,38.96,61.04,0.0
2018,1,AGUASCALIENTES,JESUS MARIA,17,5,12,0,29.41,70.59,0.0
2018,1,BAJA CALIFORNIA,MEXICALI,242,66,176,0,27.27,72.73,0.0
2018,1,BAJA CALIFORNIA,TIJUANA,261,57,204,0,21.84,78.16,0.0
2018,1,BAJA CALIFORNIA SUR,LA PAZ,270,139,128,3,51.48,47.41,1.11
2018,1,BAJA CALIFORNIA SUR,LOS CABOS,257,134,121,2,52.14,47.08,0.78
2018,1,CAMPECHE,CAMPECHE,272,145,122,5,53.31,44.85,1.84
2018,1,CAMPECHE,CARMEN,256,80,176,0,31.25,68.75,0.0
2018,1,CHIAPAS,CHIAPA DE CORZO,21,7,14,0,33.33,66.67,0.0
2018,1,CHIAPAS,TAPACHULA,270,26,244,0,9.63,90.37,0.0
2018,1,CHIAPAS,TUXTLA GUTIERREZ,243,58,185,0,23.87,76.13,0.0
2018,1,CHIHUAHUA,CHIHUAHUA,262,68,193,1,25.95,73.66,0.38
2018,1,CHIHUAHUA,JUAREZ,261,53,208,0,20.31,79.69,0.0
2018,1,CIUDAD DE MEXICO,ALVARO OBREGON,256,43,211,2,16.8,82.42,0.78
2018,1,CIUDAD DE MEXICO,AZCAPOTZALCO,266,57,209,0,21.43,78.57,0.0
2018,1,CIUDAD DE MEXICO,BENITO JUAREZ,198,72,125,1,36.36,63.13,0.51
2018,1,CIUDAD DE MEXICO,COYOACAN,233,62,169,2,26.61,72.53,0.86
2018,1,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,203,79,118,6,38.92,58.13,2.96
2018,1,CIUDAD DE MEXICO,CUAUHTEMOC,258,62,196,0,24.03,75.97,0.0
2018,1,CIUDAD DE MEXICO,GUSTAVO A. MADERO,262,22,240,0,8.4,91.6,0.0
2018,1,CIUDAD DE MEXICO,IZTACALCO,250,42,206,2,16.8,82.4,0.8
2018,1,CIUDAD DE MEXICO,IZTAPALAPA,260,22,238,0,8.46,91.54,0.0
2018,1,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,230,46,184,0,20.0,80.0,0.0
2018,1,CIUDAD DE MEXICO,MIGUEL HIDALGO,152,49,98,5,32.24,64.47,3.29
2018,1,CIUDAD DE MEXICO,MILPA ALTA,259,84,172,3,32.43,66.41,1.16
2018,1,CIUDAD DE MEXICO,TLAHUAC,267,43,223,1,16.1,83.52,0.37
2018,1,CIUDAD DE MEXICO,TLALPAN,268,61,207,0,22.76,77.24,0.0
2018,1,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,261,57,203,1,21.84,77.78,0.38
2018,1,CIUDAD DE MEXICO,XOCHIMILCO,255,50,204,1,19.61,80.0,0.39
2018,1,COAHUILA DE ZARAGOZA,MATAMOROS,12,6,6,0,50.0,50.0,0.0
2018,1,COAHUILA DE ZARAGOZA,NAVA,8,4,4,0,50.0,50.0,0.0
2018,1,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,250,108,142,0,43.2,56.8,0.0
2018,1,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,23,19,4,0,82.61,17.39,0.0
2018,1,COAHUILA DE ZARAGOZA,SALTILLO,233,138,91,4,59.23,39.06,1.72
2018,1,COAHUILA DE ZARAGOZA,TORREON,154,67,87,0,43.51,56.49,0.0
2018,1,COLIMA,COLIMA,68,20,47,1,29.41,69.12,1.47
2018,1,COLIMA,MANZANILLO,255,85,170,0,33.33,66.67,0.0
2018,1,COLIMA,VILLA DE ALVAREZ,193,67,126,0,34.72,65.28,0.0
2018,1,DURANGO,DURANGO,248,148,99,1,59.68,39.92,0.4
2018,1,DURANGO,GOMEZ PALACIO,69,28,41,0,40.58,59.42,0.0
2018,1,DURANGO,LERDO,21,12,9,0,57.14,42.86,0.0
2018,1,GUANAJUATO,GUANAJUATO,276,45,229,2,16.3,82.97,0.72
2018,1,GUANAJUATO,LEON,242,51,191,0,21.07,78.93,0.0
2018,1,GUANAJUATO,PURISIMA DEL RINCON,4,1,3,0,25.0,75.0,0.0
2018,1,GUANAJUATO,SAN FRANCISCO DEL RINCON,24,5,19,0,20.83,79.17,0.0
2018,1,GUERRERO,ACAPULCO DE JUAREZ,216,29,185,2,13.43,85.65,0.93
2018,1,GUERRERO,CHILPANCINGO DE LOS BRAVO,228,24,204,0,10.53,89.47,0.0
2018,1,GUERRERO,ZIHUATANEJO DE AZUETA,260,59,200,1,22.69,76.92,0.38
2018,1,HIDALGO,MINERAL DE LA REFORMA,77,31,46,0,40.26,59.74,0.0
2018,1,HIDALGO,PACHUCA DE SOTO,180,70,110,0,38.89,61.11,0.0
2018,1,JALISCO,GUADALAJARA,245,33,211,1,13.47,86.12,0.41
2018,1,JALISCO,PUERTO VALLARTA,267,160,107,0,59.93,40.07,0.0
2018,1,JALISCO,SAN PEDRO TLAQUEPAQUE,265,63,202,0,23.77,76.23,0.0
2018,1,JALISCO,TLAJOMULCO DE ZUNIGA,243,58,184,1,23.87,75.72,0.41
2018,1,JALISCO,TONALA,259,73,186,0,28.19,71.81,0.0
2018,1,JALISCO,ZAPOPAN,256,82,174,0,32.03,67.97,0.0
2018,1,MEXICO,ALMOLOYA DE JUAREZ,5,0,5,0,0.0,100.0,0.0
2018,1,MEXICO,ECATEPEC DE MORELOS,263,9,254,0,3.42,96.58,0.0
2018,1,MEXICO,LERMA,8,1,7,0,12.5,87.5,0.0
2018,1,MEXICO,METEPEC,37,6,31,0,16.22,83.78,0.0
2018,1,MEXICO,NEZAHUALCOYOTL,269,37,232,0,13.75,86.25,0.0
2018,1,MEXICO,SAN MATEO ATENCO,23,7,16,0,30.43,69.57,0.0
2018,1,MEXICO,TOLUCA,164,29,135,0,17.68,82.32,0.0
2018,1,MEXICO,ZINACANTEPEC,32,5,27,0,15.62,84.38,0.0
2018,1,MICHOACAN DE OCAMPO,LAZARO CARDENAS,253,55,197,1,21.74,77.87,0.4
2018,1,MICHOACAN DE OCAMPO,MORELIA,259,52,205,2,20.08,79.15,0.77
2018,1,MICHOACAN DE OCAMPO,URUAPAN,259,30,229,0,11.58,88.42,0.0
2018,1,MORELOS,CUERNAVACA,92,18,73,1,19.57,79.35,1.09
2018,1,MORELOS,EMILIANO ZAPATA,30,6,23,1,20.0,76.67,3.33
2018,1,MORELOS,JIUTEPEC,72,12,60,0,16.67,83.33,0.0
2018,1,MORELOS,TEMIXCO,32,4,28,0,12.5,87.5,0.0
2018,1,MORELOS,XOCHITEPEC,4,0,4,0,0.0,100.0,0.0
2018,1,MORELOS,YAUTEPEC,10,3,7,0,30.0,70.0,0.0
2018,1,NAYARIT,TEPIC,257,76,181,0,29.57,70.43,0.0
2018,1,NAYARIT,XALISCO,26,14,12,0,53.85,46.15,0.0
2018,1,NUEVO LEON,APODACA,265,96,164,5,36.23,61.89,1.89
2018,1,NUEVO LEON,GENERAL ESCOBEDO,261,132,129,0,50.57,49.43,0.0
2018,1,NUEVO LEON,GUADALUPE,251,95,156,0,37.85,62.15,0.0
2018,1,NUEVO LEON,MONTERREY,218,43,172,3,19.72,78.9,1.38
2018,1,NUEVO LEON,SAN NICOLAS DE LOS GARZA,239,152,79,8,63.6,33.05,3.35
2018,1,NUEVO LEON,SAN PEDRO GARZA GARCIA,170,135,35,0,79.41,20.59,0.0
2018,1,NUEVO LEON,SANTA CATARINA,243,122,118,3,50.21,48.56,1.23
2018,1,OAXACA,ANIMAS TRUJANO,5,2,3,0,40.0,60.0,0.0
2018,1,OAXACA,OAXACA DE JUAREZ,129,21,108,0,16.28,83.72,0.0
2018,1,OAXACA,SAN AGUSTIN DE LAS JUNTAS,10,0,10,0,0.0,100.0,0.0
2018,1,OAXACA,SAN AGUSTIN YATARENI,5,1,4,0,20.0,80.0,0.0
2018,1,OAXACA,SAN ANDRES HUAYAPAM,4,3,1,0,75.0,25.0,0.0
2018,1,OAXACA,SAN ANTONIO DE LA CAL,6,3,3,0,50.0,50.0,0.0
2018,1,OAXACA,SAN JACINTO AMILPAS,5,1,4,0,20.0,80.0,0.0
2018,1,OAXACA,SAN PABLO ETLA,10,1,9,0,10.0,90.0,0.0
2018,1,OAXACA,SAN SEBASTIAN TUTLA,9,1,8,0,11.11,88.89,0.0
2018,1,OAXACA,SANTA CRUZ AMILPAS,8,3,5,0,37.5,62.5,0.0
2018,1,OAXACA,SANTA CRUZ XOXOCOTLAN,41,5,36,0,12.2,87.8,0.0
2018,1,OAXACA,SANTA LUCIA DEL CAMINO,20,3,17,0,15.0,85.0,0.0
2018,1,OAXACA,SANTA MARIA ATZOMPA,8,0,8,0,0.0,100.0,0.0
2018,1,OAXACA,SANTA MARIA DEL TULE,4,1,3,0,25.0,75.0,0.0
2018,1,PUEBLA,AMOZOC,20,0,20,0,0.0,100.0,0.0
2018,1,PUEBLA,CUAUTLANCINGO,19,5,14,0,26.32,73.68,0.0
2018,1,PUEBLA,JUAN C. BONILLA,5,0,5,0,0.0,100.0,0.0
2018,1,PUEBLA,PUEBLA,195,36,159,0,18.46,81.54,0.0
2018,1,PUEBLA,SAN PEDRO CHOLULA,20,4,16,0,20.0,80.0,0.0
2018,1,QUERETARO,CORREGIDORA,49,19,29,1,38.78,59.18,2.04
2018,1,QUERETARO,QUERETARO,206,82,124,0,39.81,60.19,0.0
2018,1,QUINTANA ROO,BENITO JUAREZ,257,16,240,1,6.23,93.39,0.39
2018,1,SAN LUIS POTOSI,SAN LUIS POTOSI,140,19,121,0,13.57,86.43,0.0
2018,1,SAN LUIS POTOSI,SOLEDAD DE GRACIANO SANCHEZ,128,15,113,0,11.72,88.28,0.0
2018,1,SINALOA,AHOME,258,94,164,0,36.43,63.57,0.0
2018,1,SINALOA,CULIACAN,260,70,190,0,26.92,73.08,0.0
2018,1,SINALOA,MAZATLAN,256,104,151,1,40.62,58.98,0.39
2018,1,SONORA,HERMOSILLO,258,62,196,0,24.03,75.97,0.0
2018,1,SONORA,NOGALES,262,89,173,0,33.97,66.03,0.0
2018,1,TABASCO,CENTRO,240,12,228,0,5.0,95.0,0.0
2018,1,TABASCO,NACAJUCA,11,1,10,0,9.09,90.91,0.0
2018,1,TAMAULIPAS,ALTAMIRA,51,27,24,0,52.94,47.06,0.0
2018,1,TAMAULIPAS,CIUDAD MADERO,70,37,33,0,52.86,47.14,0.0
2018,1,TAMAULIPAS,NUEVO LAREDO,237,56,181,0,23.63,76.37,0.0
2018,1,TAMAULIPAS,REYNOSA,210,14,196,0,6.67,93.33,0.0
2018,1,TAMAULIPAS,TAMPICO,101,53,47,1,52.48,46.53,0.99
2018,1,TLAXCALA,AMAXAC DE GUERRERO,4,1,3,0,25.0,75.0,0.0
2018,1,TLAXCALA,APETATITLAN DE ANTONIO CARVAJAL,9,6,3,0,66.67,33.33,0.0
2018,1,TLAXCALA,APIZACO,18,3,15,0,16.67,83.33,0.0
2018,1,TLAXCALA,CHIAUTEMPAN,24,9,15,0,37.5,62.5,0.0
2018,1,TLAXCALA,CONTLA DE JUAN CUAMATZI,15,6,9,0,40.0,60.0,0.0
2018,1,TLAXCALA,LA MAGDALENA TLALTELULCO,9,3,6,0,33.33,66.67,0.0
2018,1,TLAXCALA,MAZATECOCHCO DE JOSE MARIA MORELOS,9,4,5,0,44.44,55.56,0.0
2018,1,TLAXCALA,PANOTLA,9,2,7,0,22.22,77.78,0.0
2018,1,TLAXCALA,PAPALOTLA DE XICOHTENCATL,18,9,9,0,50.0,50.0,0.0
2018,1,TLAXCALA,SAN FRANCISCO TETLANOHCAN,5,2,3,0,40.0,60.0,0.0
2018,1,TLAXCALA,SAN JERONIMO ZACUALPAN,5,1,4,0,20.0,80.0,0.0
2018,1,TLAXCALA,SAN JUAN HUACTZINCO,4,1,3,0,25.0,75.0,0.0
2018,1,TLAXCALA,SAN LORENZO AXOCOMANITLA,9,4,5,0,44.44,55.56,0.0
2018,1,TLAXCALA,SAN PABLO DEL MONTE,15,5,10,0,33.33,66.67,0.0
2018,1,TLAXCALA,SANTA CATARINA AYOMETLA,4,1,3,0,25.0,75.0,0.0
2018,1,TLAXCALA,TEPEYANCO,3,2,1,0,66.67,33.33,0.0
2018,1,TLAXCALA,TETLA DE LA SOLIDARIDAD,17,5,12,0,29.41,70.59,0.0
2018,1,TLAXCALA,TETLATLAHUCA,5,2,3,0,40.0,60.0,0.0
2018,1,TLAXCALA,TLAXCALA,36,14,22,0,38.89,61.11,0.0
2018,1,TLAXCALA,TOCATLAN,4,2,2,0,50.0,50.0,0.0
2018,1,TLAXCALA,XICOHTZINCO,5,0,5,0,0.0,100.0,0.0
2018,1,TLAXCALA,YAUHQUEMEHCAN,17,8,9,0,47.06,52.94,0.0
2018,1,TLAXCALA,ZACATELCO,21,9,12,0,42.86,57.14,0.0
2018,1,VERACRUZ DE IGNACIO DE LA LLAVE,BOCA DEL RIO,59,19,40,0,32.2,67.8,0.0
2018,1,VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS,230,23,207,0,10.0,90.0,0.0
2018,1,VERACRUZ DE IGNACIO DE LA LLAVE,COSOLEACAQUE,3,1,2,0,33.33,66.67,0.0
2018,1,VERACRUZ DE IGNACIO DE LA LLAVE,PUEBLO VIEJO,20,16,4,0,80.0,20.0,0.0
2018,1,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ,177,42,135,0,23.73,76.27,0.0
2018,1,YUCATAN,KANASIN,18,5,13,0,27.78,72.22,0.0
2018,1,YUCATAN,MERIDA,216,141,75,0,65.28,34.72,0.0
2018,1,YUCATAN,PROGRESO,17,10,7,0,58.82,41.18,0.0
2018,1,YUCATAN,UMAN,14,7,7,0,50.0,50.0,0.0
2018,1,ZACATECAS,FRESNILLO,276,23,251,2,8.33,90.94,0.72
2018,1,ZACATECAS,GUADALUPE,163,23,139,1,14.11,85.28,0.61
2018,1,ZACATECAS,ZACATECAS,111,25,86,0,22.52,77.48,0.0
