AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2022,1,AGUASCALIENTES,AGUASCALIENTES,246,127,118,1,51.63,47.97,0.41
2022,1,AGUASCALIENTES,JESUS MARIA,15,4,11,0,26.67,73.33,0.0
2022,1,BAJA CALIFORNIA,MEXICALI,267,82,185,0,30.71,69.29,0.0
2022,1,BAJA CALIFORNIA,TIJUANA,271,57,214,0,21.03,78.97,0.0
2022,1,BAJA CALIFORNIA SUR,LA PAZ,263,176,86,1,66.92,32.7,0.38
2022,1,BAJA CALIFORNIA SUR,LOS CABOS,256,185,69,2,72.27,26.95,0.78
2022,1,CAMPECHE,CAMPECHE,272,160,111,1,58.82,40.81,0.37
2022,1,CAMPECHE,CARMEN,256,89,166,1,34.77,64.84,0.39
2022,1,CHIAPAS,CHIAPA DE CORZO,21,9,12,0,42.86,57.14,0.0
2022,1,CHIAPAS,TAPACHULA,264,64,200,0,24.24,75.76,0.0
2022,1,CHIAPAS,TUXTLA GUTIERREZ,244,52,191,1,21.31,78.28,0.41
2022,1,CHIHUAHUA,CHIHUAHUA,265,125,140,0,47.17,52.83,0.0
2022,1,CHIHUAHUA,JUAREZ,260,68,190,2,26.15,73.08,0.77
2022,1,CIUDAD DE MEXICO,ALVARO OBREGON,268,78,189,1,29.1,70.52,0.37
2022,1,CIUDAD DE MEXICO,AZCAPOTZALCO,278,45,232,1,16.19,83.45,0.36
2022,1,CIUDAD DE MEXICO,BENITO JUAREZ,262,195,67,0,74.43,25.57,0.0
2022,1,CIUDAD DE MEXICO,COYOACAN,274,128,146,0,46.72,53.28,0.0
2022,1,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,258,150,107,1,58.14,41.47,0.39
2022,1,CIUDAD DE MEXICO,CUAUHTEMOC,262,93,169,0,35.5,64.5,0.0
2022,1,CIUDAD DE MEXICO,GUSTAVO A. MADERO,277,86,189,2,31.05,68.23,0.72
2022,1,CIUDAD DE MEXICO,IZTACALCO,269,87,182,0,32.34,67.66,0.0
2022,1,CIUDAD DE MEXICO,IZTAPALAPA,281,60,220,1,21.35,78.29,0.36
2022,1,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,272,96,176,0,35.29,64.71,0.0
2022,1,CIUDAD DE MEXICO,MIGUEL HIDALGO,261,108,152,1,41.38,58.24,0.38
2022,1,CIUDAD DE MEXICO,MILPA ALTA,271,134,136,1,49.45,50.18,0.37
