AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2023,4,AGUASCALIENTES,AGUASCALIENTES,249,176,72,1,70.68,28.92,0.4
2023,4,AGUASCALIENTES,JESUS MARIA,19,9,10,0,47.37,52.63,0.0
2023,4,BAJA CALIFORNIA,MEXICALI,258,126,131,1,48.84,50.78,0.39
2023,4,BAJA CALIFORNIA,TIJUANA,259,103,156,0,39.77,60.23,0.0
2023,4,BAJA CALIFORNIA SUR,LA PAZ,261,202,57,2,77.39,21.84,0.77
2023,4,BAJA CALIFORNIA SUR,LOS CABOS,256,196,57,3,76.56,22.27,1.17
2023,4,CAMPECHE,CAMPECHE,270,126,144,0,46.67,53.33,0.0
2023,4,CAMPECHE,CARMEN,259,125,134,0,48.26,51.74,0.0
2023,4,CHIAPAS,CHIAPA DE CORZO,23,9,14,0,39.13,60.87,0.0
2023,4,CHIAPAS,TAPACHULA,261,44,217,0,16.86,83.14,0.0
2023,4,CHIAPAS,TUXTLA GUTIERREZ,249,65,183,1,26.1,73.49,0.4
2023,4,CHIHUAHUA,CHIHUAHUA,265,136,129,0,51.32,48.68,0.0
2023,4,CHIHUAHUA,JUAREZ,260,76,181,3,29.23,69.62,1.15
2023,4,CIUDAD DE MEXICO,ALVARO OBREGON,262,95,165,2,36.26,62.98,0.76
2023,4,CIUDAD DE MEXICO,AZCAPOTZALCO,265,120,141,4,45.28,53.21,1.51
2023,4,CIUDAD DE MEXICO,BENITO JUAREZ,259,223,34,2,86.1,13.13,0.77
2023,4,CIUDAD DE MEXICO,COYOACAN,259,135,121,3,52.12,46.72,1.16
2023,4,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,265,184,76,5,69.43,28.68,1.89
2023,4,CIUDAD DE MEXICO,CUAUHTEMOC,255,115,140,0,45.1,54.9,0.0
2023,4,CIUDAD DE MEXICO,GUSTAVO A. MADERO,263,113,148,2,42.97,56.27,0.76
2023,4,CIUDAD DE MEXICO,IZTACALCO,261,111,149,1,42.53,57.09,0.38
2023,4,CIUDAD DE MEXICO,IZTAPALAPA,258,101,156,1,39.15,60.47,0.39
2023,4,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,270,123,146,1,45.56,54.07,0.37
2023,4,CIUDAD DE MEXICO,MIGUEL HIDALGO,258,135,123,0,52.33,47.67,0.0
2023,4,CIUDAD DE MEXICO,MILPA ALTA,275,127,147,1,46.18,53.45,0.36
2023,4,CIUDAD DE MEXICO,TLAHUAC,259,81,174,4,31.27,67.18,1.54
2023,4,CIUDAD DE MEXICO,TLALPAN,258,122,135,1,47.29,52.33,0.39
2023,4,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,264,118,146,0,44.7,55.3,0.0
2023,4,CIUDAD DE MEXICO,XOCHIMILCO,265,95,164,6,35.85,61.89,2.26
2023,4,COAHUILA DE ZARAGOZA,MATAMOROS,19,14,5,0,73.68,26.32,0.0
2023,4,COAHUILA DE ZARAGOZA,NAVA,10,8,2,0,80.0,20.0,0.0
2023,4,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,254,206,48,0,81.1,18.9,0.0
2023,4,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,24,14,10,0,58.33,41.67,0.0
2023,4,COAHUILA DE ZARAGOZA,SALTILLO,242,188,54,0,77.69,22.31,0.0
2023,4,COAHUILA DE ZARAGOZA,TORREON,257,170,87,0,66.15,33.85,0.0
2023,4,COLIMA,COLIMA,172,46,125,1,26.74,72.67,0.58
2023,4,COLIMA,MANZANILLO,262,117,144,1,44.66,54.96,0.38
2023,4,COLIMA,VILLA DE ALVAREZ,99,31,68,0,31.31,68.69,0.0
2023,4,DURANGO,DURANGO,256,178,77,1,69.53,30.08,0.39
2023,4,DURANGO,GOMEZ PALACIO,80,46,34,0,57.5,42.5,0.0
2023,4,DURANGO,LERDO,16,6,10,0,37.5,62.5,0.0
