AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2024,1,AGUASCALIENTES,AGUASCALIENTES,245,157,87,1,64.08,35.51,0.41
2024,1,AGUASCALIENTES,JESUS MARIA,20,9,11,0,45.0,55.0,0.0
2024,1,BAJA CALIFORNIA,MEXICALI,261,95,163,3,36.4,62.45,1.15
2024,1,BAJA CALIFORNIA,TIJUANA,262,76,186,0,29.01,70.99,0.0
2024,1,BAJA CALIFORNIA SUR,LA PAZ,262,186,75,1,70.99,28.63,0.38
2024,1,BAJA CALIFORNIA SUR,LOS CABOS,255,190,63,2,74.51,24.71,0.78
2024,1,CAMPECHE,CAMPECHE,268,137,128,3,51.12,47.76,1.12
2024,1,CAMPECHE,CARMEN,264,96,164,4,36.36,62.12,1.52
2024,1,CHIAPAS,CHIAPA DE CORZO,23,10,13,0,43.48,56.52,0.0
2024,1,CHIAPAS,TAPACHULA,255,40,214,1,15.69,83.92,0.39
2024,1,CHIAPAS,TUXTLA GUTIERREZ,244,56,187,1,22.95,76.64,0.41
2024,1,CHIHUAHUA,CHIHUAHUA,268,111,157,0,41.42,58.58,0.0
2024,1,CHIHUAHUA,JUAREZ,257,82,172,3,31.91,66.93,1.17
2024,1,CIUDAD DE MEXICO,ALVARO OBREGON,260,89,168,3,34.23,64.62,1.15
2024,1,CIUDAD DE MEXICO,AZCAPOTZALCO,257,114,140,3,44.36,54.47,1.17
2024,1,CIUDAD DE MEXICO,BENITO JUAREZ,257,225,30,2,87.55,11.67,0.78
2024,1,CIUDAD DE MEXICO,COYOACAN,257,125,128,4,48.64,49.81,1.56
2024,1,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,265,200,63,2,75.47,23.77,0.75
2024,1,CIUDAD DE MEXICO,CUAUHTEMOC,256,124,124,8,48.44,48.44,3.12
2024,1,CIUDAD DE MEXICO,GUSTAVO A. MADERO,262,89,166,7,33.97,63.36,2.67
2024,1,CIUDAD DE MEXICO,IZTACALCO,279,103,172,4,36.92,61.65,1.43
2024,1,CIUDAD DE MEXICO,IZTAPALAPA,270,74,195,1,27.41,72.22,0.37
2024,1,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,268,109,155,4,40.67,57.84,1.49
2024,1,CIUDAD DE MEXICO,MIGUEL HIDALGO,256,173,78,5,67.58,30.47,1.95
2024,1,CIUDAD DE MEXICO,MILPA ALTA,267,142,125,0,53.18,46.82,0.0
2024,1,CIUDAD DE MEXICO,TLAHUAC,273,87,180,6,31.87,65.93,2.2
2024,1,CIUDAD DE MEXICO,TLALPAN,266,111,153,2,41.73,57.52,0.75
2024,1,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,270,127,141,2,47.04,52.22,0.74
2024,1,CIUDAD DE MEXICO,XOCHIMILCO,268,86,181,1,32.09,67.54,0.37
2024,1,COAHUILA DE ZARAGOZA,MATAMOROS,17,11,6,0,64.71,35.29,0.0
2024,1,COAHUILA DE ZARAGOZA,NAVA,10,8,2,0,80.0,20.0,0.0
2024,1,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,250,194,56,0,77.6,22.4,0.0
2024,1,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,24,16,8,0,66.67,33.33,0.0
2024,1,COAHUILA DE ZARAGOZA,SALTILLO,236,173,63,0,73.31,26.69,0.0
2024,1,COAHUILA DE ZARAGOZA,TORREON,258,169,88,1,65.5,34.11,0.39
2024,1,COLIMA,COLIMA,168,30,138,0,17.86,82.14,0.0
2024,1,COLIMA,MANZANILLO,258,117,141,0,45.35,54.65,0.0
2024,1,COLIMA,VILLA DE ALVAREZ,89,21,68,0,23.6,76.4,0.0
2024,1,DURANGO,DURANGO,260,169,91,0,65.0,35.0,0.0
2024,1,DURANGO,GOMEZ PALACIO,79,43,36,0,54.43,45.57,0.0
2024,1,DURANGO,LERDO,18,7,11,0,38.89,61.11,0.0
2024,1,GUANAJUATO,GUANAJUATO,270,108,162,0,40.0,60.0,0.0
2024,1,GUANAJUATO,IRAPUATO,279,52,224,3,18.64,80.29,1.08
2024,1,GUANAJUATO,LEON,245,32,209,4,13.06,85.31,1.63
2024,1,GUANAJUATO,PURISIMA DEL RINCON,5,1,4,0,20.0,80.0,0.0
2024,1,GUANAJUATO,SAN FRANCISCO DEL RINCON,20,2,18,0,10.0,90.0,0.0
2024,1,GUERRERO,ACAPULCO DE JUAREZ,240,55,184,1,22.92,76.67,0.42
2024,1,GUERRERO,CHILPANCINGO DE LOS BRAVO,257,25,232,0,9.73,90.27,0.0
2024,1,GUERRERO,ZIHUATANEJO DE AZUETA,260,114,146,0,43.85,56.15,0.0
2024,1,HIDALGO,MINERAL DE LA REFORMA,70,32,38,0,45.71,54.29,0.0
2024,1,HIDALGO,PACHUCA DE SOTO,191,94,96,1,49.21,50.26,0.52
2024,1,JALISCO,GUADALAJARA,792,184,605,3,23.23,76.39,0.38
2024,1,JALISCO,PUERTO VALLARTA,244,181,63,0,74.18,25.82,0.0
2024,1,JALISCO,SAN PEDRO TLAQUEPAQUE,258,83,173,2,32.17,67.05,0.78
2024,1,JALISCO,TLAJOMULCO DE ZUNIGA,232,68,164,0,29.31,70.69,0.0
2024,1,JALISCO,TONALA,261,80,180,1,30.65,68.97,0.38
2024,1,JALISCO,ZAPOPAN,238,100,138,0,42.02,57.98,0.0
2024,1,MEXICO,ALMOLOYA DE JUAREZ,5,0,5,0,0.0,100.0,0.0
2024,1,MEXICO,ATIZAPAN DE ZARAGOZA,265,119,145,1,44.91,54.72,0.38
2024,1,MEXICO,CHIMALHUACAN,271,56,215,0,20.66,79.34,0.0
2024,1,MEXICO,CUAUTITLAN IZCALLI,264,73,191,0,27.65,72.35,0.0
2024,1,MEXICO,ECATEPEC DE MORELOS,266,43,223,0,16.17,83.83,0.0
2024,1,MEXICO,LERMA,9,2,7,0,22.22,77.78,0.0
2024,1,MEXICO,METEPEC,36,7,28,1,19.44,77.78,2.78
2024,1,MEXICO,NAUCALPAN DE JUAREZ,266,28,237,1,10.53,89.1,0.38
2024,1,MEXICO,NEZAHUALCOYOTL,270,84,185,1,31.11,68.52,0.37
2024,1,MEXICO,SAN MATEO ATENCO,16,10,6,0,62.5,37.5,0.0
2024,1,MEXICO,TLALNEPANTLA DE BAZ,271,77,190,4,28.41,70.11,1.48
2024,1,MEXICO,TOLUCA,166,29,137,0,17.47,82.53,0.0
2024,1,MEXICO,ZINACANTEPEC,34,7,27,0,20.59,79.41,0.0
2024,1,MICHOACAN DE OCAMPO,LAZARO CARDENAS,269,173,95,1,64.31,35.32,0.37
2024,1,MICHOACAN DE OCAMPO,MORELIA,256,93,161,2,36.33,62.89,0.78
2024,1,MICHOACAN DE OCAMPO,URUAPAN,259,37,221,1,14.29,85.33,0.39
2024,1,MORELOS,CUERNAVACA,103,13,89,1,12.62,86.41,0.97
2024,1,MORELOS,EMILIANO ZAPATA,48,9,39,0,18.75,81.25,0.0
2024,1,MORELOS,JIUTEPEC,88,8,80,0,9.09,90.91,0.0
2024,1,MORELOS,TEMIXCO,19,2,17,0,10.53,89.47,0.0
2024,1,MORELOS,XOCHITEPEC,9,1,8,0,11.11,88.89,0.0
2024,1,MORELOS,YAUTEPEC,5,1,4,0,20.0,80.0,0.0
2024,1,NAYARIT,TEPIC,249,176,73,0,70.68,29.32,0.0
2024,1,NAYARIT,XALISCO,29,23,6,0,79.31,20.69,0.0
2024,1,NUEVO LEON,APODACA,265,158,105,2,59.62,39.62,0.75
2024,1,NUEVO LEON,GENERAL ESCOBEDO,260,116,140,4,44.62,53.85,1.54
2024,1,NUEVO LEON,GUADALUPE,252,127,122,3,50.4,48.41,1.19
2024,1,NUEVO LEON,MONTERREY,220,70,150,0,31.82,68.18,0.0
2024,1,NUEVO LEON,SAN NICOLAS DE LOS GARZA,250,168,80,2,67.2,32.0,0.8
2024,1,NUEVO LEON,SAN PEDRO GARZA GARCIA,188,130,53,5,69.15,28.19,2.66
2024,1,NUEVO LEON,SANTA CATARINA,257,117,139,1,45.53,54.09,0.39
2024,1,OAXACA,ANIMAS TRUJANO,5,3,2,0,60.0,40.0,0.0
2024,1,OAXACA,OAXACA DE JUAREZ,139,53,86,0,38.13,61.87,0.0
2024,1,OAXACA,SAN AGUSTIN DE LAS JUNTAS,10,5,5,0,50.0,50.0,0.0
2024,1,OAXACA,SAN AGUSTIN YATARENI,4,2,2,0,50.0,50.0,0.0
2024,1,OAXACA,SAN ANDRES HUAYAPAM,4,0,4,0,0.0,100.0,0.0
2024,1,OAXACA,SAN ANTONIO DE LA CAL,5,1,4,0,20.0,80.0,0.0
2024,1,OAXACA,SAN LORENZO CACAOTEPEC,3,2,1,0,66.67,33.33,0.0
2024,1,OAXACA,SAN PABLO ETLA,5,3,2,0,60.0,40.0,0.0
2024,1,OAXACA,SAN SEBASTIAN TUTLA,5,2,3,0,40.0,60.0,0.0
2024,1,OAXACA,SANTA CRUZ AMILPAS,4,3,1,0,75.0,25.0,0.0
2024,1,OAXACA,SANTA CRUZ XOXOCOTLAN,42,14,28,0,33.33,66.67,0.0
2024,1,OAXACA,SANTA LUCIA DEL CAMINO,23,9,13,1,39.13,56.52,4.35
2024,1,OAXACA,SANTA MARIA ATZOMPA,9,1,8,0,11.11,88.89,0.0
2024,1,OAXACA,SANTA MARIA DEL TULE,14,7,7,0,50.0,50.0,0.0
2024,1,OAXACA,TLALIXTAC DE CABRERA,3,0,2,1,0.0,66.67,33.33
2024,1,PUEBLA,AMOZOC,22,4,18,0,18.18,81.82,0.0
2024,1,PUEBLA,CUAUTLANCINGO,4,1,3,0,25.0,75.0,0.0
2024,1,PUEBLA,JUAN C. BONILLA,4,2,2,0,50.0,50.0,0.0
2024,1,PUEBLA,PUEBLA,211,57,150,4,27.01,71.09,1.9
2024,1,PUEBLA,SAN ANDRES CHOLULA,4,1,3,0,25.0,75.0,0.0
2024,1,PUEBLA,SAN PEDRO CHOLULA,16,5,11,0,31.25,68.75,0.0
2024,1,QUERETARO,CORREGIDORA,34,23,11,0,67.65,32.35,0.0
2024,1,QUERETARO,EL MARQUES,10,4,6,0,40.0,60.0,0.0
2024,1,QUERETARO,QUERETARO,218,125,93,0,57.34,42.66,0.0
2024,1,QUINTANA ROO,BENITO JUAREZ,257,50,207,0,19.46,80.54,0.0
2024,1,QUINTANA ROO,OTHON P. BLANCO,269,116,153,0,43.12,56.88,0.0
2024,1,SAN LUIS POTOSI,SAN LUIS POTOSI,177,60,117,0,33.9,66.1,0.0
2024,1,SAN LUIS POTOSI,SOLEDAD DE GRACIANO SANCHEZ,84,30,54,0,35.71,64.29,0.0
2024,1,SINALOA,AHOME,259,194,65,0,74.9,25.1,0.0
2024,1,SINALOA,CULIACAN,257,155,102,0,60.31,39.69,0.0
2024,1,SINALOA,MAZATLAN,256,164,91,1,64.06,35.55,0.39
2024,1,SONORA,CAJEME,270,35,233,2,12.96,86.3,0.74
2024,1,SONORA,HERMOSILLO,258,135,122,1,52.33,47.29,0.39
2024,1,SONORA,NOGALES,276,157,119,0,56.88,43.12,0.0
2024,1,TABASCO,CENTRO,237,65,172,0,27.43,72.57,0.0
2024,1,TABASCO,NACAJUCA,13,1,12,0,7.69,92.31,0.0
2024,1,TAMAULIPAS,ALTAMIRA,66,52,14,0,78.79,21.21,0.0
2024,1,TAMAULIPAS,CIUDAD MADERO,65,50,15,0,76.92,23.08,0.0
2024,1,TAMAULIPAS,NUEVO LAREDO,230,121,102,7,52.61,44.35,3.04
2024,1,TAMAULIPAS,REYNOSA,246,59,187,0,23.98,76.02,0.0
2024,1,TAMAULIPAS,TAMPICO,105,72,33,0,68.57,31.43,0.0
2024,1,TAMAULIPAS,VICTORIA,257,128,128,1,49.81,49.81,0.39
2024,1,TLAXCALA,APETATITLAN DE ANTONIO CARVAJAL,5,4,1,0,80.0,20.0,0.0
2024,1,TLAXCALA,APIZACO,25,10,15,0,40.0,60.0,0.0
2024,1,TLAXCALA,CONTLA DE JUAN CUAMATZI,20,14,6,0,70.0,30.0,0.0
2024,1,TLAXCALA,MAZATECOCHCO DE JOSE MARIA MORELOS,9,7,2,0,77.78,22.22,0.0
2024,1,TLAXCALA,NATIVITAS,9,6,3,0,66.67,33.33,0.0
2024,1,TLAXCALA,PANOTLA,5,2,3,0,40.0,60.0,0.0
2024,1,TLAXCALA,PAPALOTLA DE XICOHTENCATL,10,4,6,0,40.0,60.0,0.0
2024,1,TLAXCALA,SAN FRANCISCO TETLANOHCAN,5,2,3,0,40.0,60.0,0.0
2024,1,TLAXCALA,SAN JERONIMO ZACUALPAN,5,2,3,0,40.0,60.0,0.0
2024,1,TLAXCALA,SAN JUAN HUACTZINCO,10,4,6,0,40.0,60.0,0.0
2024,1,TLAXCALA,SAN PABLO DEL MONTE,19,10,9,0,52.63,47.37,0.0
2024,1,TLAXCALA,SANTA CRUZ QUILEHTLA,10,6,4,0,60.0,40.0,0.0
2024,1,TLAXCALA,SANTA ISABEL XILOXOXTLA,4,2,2,0,50.0,50.0,0.0
2024,1,TLAXCALA,TEOLOCHOLCO,9,7,2,0,77.78,22.22,0.0
2024,1,TLAXCALA,TETLA DE LA SOLIDARIDAD,31,14,17,0,45.16,54.84,0.0
2024,1,TLAXCALA,TLAXCALA,30,16,14,0,53.33,46.67,0.0
2024,1,TLAXCALA,TOCATLAN,5,3,2,0,60.0,40.0,0.0
2024,1,TLAXCALA,TOTOLAC,19,8,11,0,42.11,57.89,0.0
2024,1,TLAXCALA,TZOMPANTEPEC,10,6,4,0,60.0,40.0,0.0
2024,1,TLAXCALA,XALOZTOC,9,4,5,0,44.44,55.56,0.0
2024,1,TLAXCALA,XALTOCAN,4,1,3,0,25.0,75.0,0.0
2024,1,TLAXCALA,YAUHQUEMEHCAN,3,3,0,0,100.0,0.0,0.0
2024,1,TLAXCALA,ZACATELCO,23,6,17,0,26.09,73.91,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,BOCA DEL RIO,53,21,32,0,39.62,60.38,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS,244,59,178,7,24.18,72.95,2.87
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,COSOLEACAQUE,3,1,2,0,33.33,66.67,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,PANUCO,5,2,3,0,40.0,60.0,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,PUEBLO VIEJO,16,14,2,0,87.5,12.5,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ,180,83,97,0,46.11,53.89,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,XALAPA,249,106,142,1,42.57,57.03,0.4
2024,1,YUCATAN,KANASIN,33,25,8,0,75.76,24.24,0.0
2024,1,YUCATAN,MERIDA,216,166,50,0,76.85,23.15,0.0
2024,1,YUCATAN,PROGRESO,8,5,3,0,62.5,37.5,0.0
2024,1,ZACATECAS,FRESNILLO,276,15,260,1,5.43,94.2,0.36
2024,1,ZACATECAS,GUADALUPE,151,14,136,1,9.27,90.07,0.66
2024,1,ZACATECAS,ZACATECAS,120,11,109,0,9.17,90.83,0.0
