AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2019,2,AGUASCALIENTES,AGUASCALIENTES,250,110,140,0,44.0,56.0,0.0
2019,2,AGUASCALIENTES,JESUS MARIA,19,6,13,0,31.58,68.42,0.0
2019,2,BAJA CALIFORNIA,MEXICALI,256,112,144,0,43.75,56.25,0.0
2019,2,BAJA CALIFORNIA,TIJUANA,262,73,189,0,27.86,72.14,0.0
2019,2,BAJA CALIFORNIA SUR,LA PAZ,262,145,117,0,55.34,44.66,0.0
2019,2,BAJA CALIFORNIA SUR,LOS CABOS,259,178,80,1,68.73,30.89,0.39
2019,2,CAMPECHE,CAMPECHE,265,139,124,2,52.45,46.79,0.75
2019,2,CAMPECHE,CARMEN,259,48,211,0,18.53,81.47,0.0
2019,2,CHIAPAS,CHIAPA DE CORZO,24,11,13,0,45.83,54.17,0.0
2019,2,CHIAPAS,TAPACHULA,274,20,254,0,7.3,92.7,0.0
2019,2,CHIAPAS,TUXTLA GUTIERREZ,243,38,203,2,15.64,83.54,0.82
2019,2,CHIHUAHUA,CHIHUAHUA,265,68,195,2,25.66,73.58,0.75
2019,2,CHIHUAHUA,JUAREZ,267,30,237,0,11.24,88.76,0.0
2019,2,CIUDAD DE MEXICO,ALVARO OBREGON,265,55,210,0,20.75,79.25,0.0
2019,2,CIUDAD DE MEXICO,AZCAPOTZALCO,261,46,213,2,17.62,81.61,0.77
2019,2,CIUDAD DE MEXICO,BENITO JUAREZ,256,126,129,1,49.22,50.39,0.39
2019,2,CIUDAD DE MEXICO,COYOACAN,255,87,168,0,34.12,65.88,0.0
2019,2,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,258,134,124,0,51.94,48.06,0.0
2019,2,CIUDAD DE MEXICO,CUAUHTEMOC,266,57,209,0,21.43,78.57,0.0
2019,2,CIUDAD DE MEXICO,GUSTAVO A. MADERO,266,40,225,1,15.04,84.59,0.38
2019,2,CIUDAD DE MEXICO,IZTACALCO,257,51,205,1,19.84,79.77,0.39
2019,2,CIUDAD DE MEXICO,IZTAPALAPA,277,30,246,1,10.83,88.81,0.36
2019,2,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,263,66,196,1,25.1,74.52,0.38
2019,2,CIUDAD DE MEXICO,MIGUEL HIDALGO,251,66,184,1,26.29,73.31,0.4
2019,2,CIUDAD DE MEXICO,MILPA ALTA,279,109,170,0,39.07,60.93,0.0
2019,2,CIUDAD DE MEXICO,TLAHUAC,270,45,221,4,16.67,81.85,1.48
2019,2,CIUDAD DE MEXICO,TLALPAN,270,54,213,3,20.0,78.89,1.11
2019,2,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,267,97,168,2,36.33,62.92,0.75
2019,2,CIUDAD DE MEXICO,XOCHIMILCO,275,44,231,0,16.0,84.0,0.0
2019,2,COAHUILA DE ZARAGOZA,MATAMOROS,15,7,8,0,46.67,53.33,0.0
2019,2,COAHUILA DE ZARAGOZA,NAVA,10,3,7,0,30.0,70.0,0.0
2019,2,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,252,133,119,0,52.78,47.22,0.0
