AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2023,3,AGUASCALIENTES,AGUASCALIENTES,247,150,96,1,60.73,38.87,0.4
2023,3,AGUASCALIENTES,JESUS MARIA,16,9,7,0,56.25,43.75,0.0
2023,3,BAJA CALIFORNIA,MEXICALI,263,110,151,2,41.83,57.41,0.76
2023,3,BAJA CALIFORNIA,TIJUANA,262,89,173,0,33.97,66.03,0.0
2023,3,BAJA CALIFORNIA SUR,LA PAZ,255,198,57,0,77.65,22.35,0.0
2023,3,BAJA CALIFORNIA SUR,LOS CABOS,254,190,62,2,74.8,24.41,0.79
2023,3,CAMPECHE,CAMPECHE,270,113,157,0,41.85,58.15,0.0
2023,3,CAMPECHE,CARMEN,260,103,156,1,39.62,60.0,0.38
2023,3,CHIAPAS,CHIAPA DE CORZO,25,13,12,0,52.0,48.0,0.0
2023,3,CHIAPAS,TAPACHULA,269,42,227,0,15.61,84.39,0.0
2023,3,CHIAPAS,TUXTLA GUTIERREZ,248,67,178,3,27.02,71.77,1.21
2023,3,CHIHUAHUA,CHIHUAHUA,274,111,163,0,40.51,59.49,0.0
2023,3,CHIHUAHUA,JUAREZ,274,90,182,2,32.85,66.42,0.73
2023,3,CIUDAD DE MEXICO,ALVARO OBREGON,267,107,158,2,40.07,59.18,0.75
2023,3,CIUDAD DE MEXICO,AZCAPOTZALCO,265,111,154,0,41.89,58.11,0.0
2023,3,CIUDAD DE MEXICO,BENITO JUAREZ,262,217,45,0,82.82,17.18,0.0
2023,3,CIUDAD DE MEXICO,COYOACAN,260,130,130,0,50.0,50.0,0.0
2023,3,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,262,198,58,6,75.57,22.14,2.29
2023,3,CIUDAD DE MEXICO,CUAUHTEMOC,258,109,148,1,42.25,57.36,0.39
2023,3,CIUDAD DE MEXICO,GUSTAVO A. MADERO,261,111,148,2,42.53,56.7,0.77
2023,3,CIUDAD DE MEXICO,IZTACALCO,273,92,177,4,33.7,64.84,1.47
2023,3,CIUDAD DE MEXICO,IZTAPALAPA,273,80,193,0,29.3,70.7,0.0
2023,3,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,268,115,153,0,42.91,57.09,0.0
2023,3,CIUDAD DE MEXICO,MIGUEL HIDALGO,260,148,109,3,56.92,41.92,1.15
2023,3,CIUDAD DE MEXICO,MILPA ALTA,279,130,149,0,46.59,53.41,0.0
2023,3,CIUDAD DE MEXICO,TLAHUAC,267,75,192,0,28.09,71.91,0.0
2023,3,CIUDAD DE MEXICO,TLALPAN,261,105,155,1,40.23,59.39,0.38
2023,3,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,263,118,144,1,44.87,54.75,0.38
2023,3,CIUDAD DE MEXICO,XOCHIMILCO,268,79,189,0,29.48,70.52,0.0
2023,3,COAHUILA DE ZARAGOZA,MATAMOROS,15,11,4,0,73.33,26.67,0.0
2023,3,COAHUILA DE ZARAGOZA,NAVA,9,8,1,0,88.89,11.11,0.0
2023,3,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,251,197,54,0,78.49,21.51,0.0
2023,3,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,22,16,6,0,72.73,27.27,0.0
2023,3,COAHUILA DE ZARAGOZA,SALTILLO,242,185,57,0,76.45,23.55,0.0
2023,3,COAHUILA DE ZARAGOZA,TORREON,261,158,103,0,60.54,39.46,0.0
2023,3,COLIMA,COLIMA,162,31,130,1,19.14,80.25,0.62
2023,3,COLIMA,MANZANILLO,262,105,156,1,40.08,59.54,0.38
2023,3,COLIMA,VILLA DE ALVAREZ,111,39,72,0,35.14,64.86,0.0
2023,3,DURANGO,DURANGO,261,186,74,1,71.26,28.35,0.38
2023,3,DURANGO,GOMEZ PALACIO,82,41,41,0,50.0,50.0,0.0
2023,3,DURANGO,LERDO,16,3,13,0,18.75,81.25,0.0
2023,3,ESTADO DE MEXICO,ALMOLOYA DE JUAREZ,4,0,4,0,0.0,100.0,0.0
2023,3,ESTADO DE MEXICO,ATIZAPAN DE ZARAGOZA,269,119,150,0,44.24,55.76,0.0
2023,3,ESTADO DE MEXICO,CHIMALHUACAN,269,75,194,0,27.88,72.12,0.0
