"Encuesta Nacional de Seguridad Pública Urbana 2022 (IV Trimestre)",
,
"Nombre de archivo","Título de Tablas"
"conjunto_de_datos_ensu_viv_1222","Cuestionario sociodemográfico sección I y II"
"conjunto_de_datos_ensu_cs_1222","Cuestionario sociodemográfico sección III"
"conjunto_de_datos_ensu_cb_1222","Cuestionario principal de la encuesta sección I, II, III, IV y V"
