"e_con","descrip"
"1","vive con su pareja en unión libre?"
"2","está separado(a)?"
"3","está divorciado(a)?"
"4","está viudo(a)?"
"5","está casado(a)?"
"6","está soltero(a)?"
"9","No sabe"
