"Encuesta Nacional de Seguridad Pública Urbana 2023 (IV Trimestre)",
,
"Nombre de archivo","Título de Tablas"
"conjunto_de_datos_ensu_viv_1223","Cuestionario sociodemográfico sección I y II"
"conjunto_de_datos_ensu_cs_1223","Cuestionario sociodemográfico sección III"
"conjunto_de_datos_ensu_cb_1223","Cuestionario principal de la encuesta sección I, II, III, IV, V"
