"I_ANIO","descrip"
"0
","Ninguno"
"1
","1er Grado"
"2
","2do Grado"
"3
","3er Grado"
"4
","4to Grado"
"5
","5to Grado"
"6
","6to Grado"
"7
","7mo Grado"
"8
","8vo Grado"
"9
","Grado no especificado"
