"i_niv","descrip"
"00","Ninguno"
"01","Preescolar"
"02","Primaria"
"03","Secundaria"
"04","Preparatoria o bachillerato"
"05","Normal"
"06","Carrera técnica"
"07","Profesional"
"08","Maestria"
"09","Doctorado"
"99","No sabe"
