"REG_CD","descrip"
"PM
","Región ""Policía de Monterrey"""
"FC
","Región ""Fuerza Civil (Monterrey)"""
"SG1
","Región Country de Guadalajara"
"SG2
","Región Oriente de Guadalajara"
"SG3
","Región San Jacinto de Guadalajara"
"SG4
","Región El Sauz de Guadalajara"
