NOM_ENT,NOM_MUN,NOM_CD,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,TOTAL_RESPUESTAS,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,FECHA_PROCESAMIENTO,ANO,TRIMESTRE
YUCATAN,PROGRESO,SIN_CIUDAD,14,3,0,17,82.35,17.65,0.0,2025-09-10T21:12:55.109709,2019,4
YUCATAN,UMAN,SIN_CIUDAD,11,7,0,18,61.11,38.89,0.0,2025-09-10T21:12:55.109709,2019,4
YUCATAN,KANASIN,SIN_CIUDAD,5,2,0,7,71.43,28.57,0.0,2025-09-10T21:12:55.676333,2020,1
YUCATAN,MERIDA,SIN_CIUDAD,168,48,0,216,77.78,22.22,0.0,2025-09-10T21:12:55.676333,2020,1
YUCATAN,PROGRESO,SIN_CIUDAD,13,10,0,23,56.52,43.48,0.0,2025-09-10T21:12:55.676333,2020,1
YUCATAN,UMAN,SIN_CIUDAD,12,6,0,18,66.67,33.33,0.0,2025-09-10T21:12:55.676333,2020,1
YUCATAN,KANASIN,SIN_CIUDAD,7,3,0,10,70.0,30.0,0.0,2025-09-10T21:12:56.601575,2020,3
YUCATAN,MERIDA,SIN_CIUDAD,167,45,0,212,78.77,21.23,0.0,2025-09-10T21:12:56.601575,2020,3
YUCATAN,PROGRESO,SIN_CIUDAD,16,12,0,28,57.14,42.86,0.0,2025-09-10T21:12:56.601575,2020,3
YUCATAN,UMAN,SIN_CIUDAD,9,3,0,12,75.0,25.0,0.0,2025-09-10T21:12:56.601575,2020,3
YUCATAN,KANASIN,SIN_CIUDAD,2,7,0,9,22.22,77.78,0.0,2025-09-10T21:12:57.508095,2020,4
YUCATAN,MERIDA,SIN_CIUDAD,171,44,0,215,79.53,20.47,0.0,2025-09-10T21:12:57.508095,2020,4
YUCATAN,PROGRESO,SIN_CIUDAD,15,13,0,28,53.57,46.43,0.0,2025-09-10T21:12:57.508095,2020,4
YUCATAN,UMAN,SIN_CIUDAD,7,5,0,12,58.33,41.67,0.0,2025-09-10T21:12:57.508095,2020,4
YUCATAN,KANASIN,SIN_CIUDAD,7,7,0,14,50.0,50.0,0.0,2025-09-10T21:12:58.313992,2021,1
YUCATAN,MERIDA,SIN_CIUDAD,159,56,0,215,73.95,26.05,0.0,2025-09-10T21:12:58.313992,2021,1
YUCATAN,PROGRESO,SIN_CIUDAD,11,12,0,23,47.83,52.17,0.0,2025-09-10T21:12:58.313992,2021,1
YUCATAN,UMAN,SIN_CIUDAD,7,6,0,13,53.85,46.15,0.0,2025-09-10T21:12:58.313992,2021,1
YUCATAN,KANASIN,SIN_CIUDAD,2,11,0,13,15.38,84.62,0.0,2025-09-10T21:12:59.138466,2021,2
YUCATAN,MERIDA,SIN_CIUDAD,176,42,0,218,80.73,19.27,0.0,2025-09-10T21:12:59.138466,2021,2
YUCATAN,PROGRESO,SIN_CIUDAD,11,11,0,22,50.0,50.0,0.0,2025-09-10T21:12:59.138466,2021,2
YUCATAN,UMAN,SIN_CIUDAD,8,7,0,15,53.33,46.67,0.0,2025-09-10T21:12:59.138466,2021,2
YUCATAN,KANASIN,SIN_CIUDAD,7,11,0,18,38.89,61.11,0.0,2025-09-10T21:13:00.174313,2021,3
YUCATAN,MERIDA,SIN_CIUDAD,150,67,0,217,69.12,30.88,0.0,2025-09-10T21:13:00.174313,2021,3
YUCATAN,PROGRESO,SIN_CIUDAD,10,7,0,17,58.82,41.18,0.0,2025-09-10T21:13:00.174313,2021,3
YUCATAN,UMAN,SIN_CIUDAD,8,7,0,15,53.33,46.67,0.0,2025-09-10T21:13:00.174313,2021,3
YUCATAN,KANASIN,SIN_CIUDAD,9,10,0,19,47.37,52.63,0.0,2025-09-10T21:13:01.046790,2021,4
YUCATAN,MERIDA,SIN_CIUDAD,165,54,0,219,75.34,24.66,0.0,2025-09-10T21:13:01.046790,2021,4
YUCATAN,PROGRESO,SIN_CIUDAD,12,8,0,20,60.0,40.0,0.0,2025-09-10T21:13:01.046790,2021,4
YUCATAN,UMAN,SIN_CIUDAD,6,4,0,10,60.0,40.0,0.0,2025-09-10T21:13:01.046790,2021,4
YUCATAN,KANASIN,SIN_CIUDAD,15,4,0,19,78.95,21.05,0.0,2025-09-10T21:13:01.769591,2022,1
YUCATAN,MERIDA,SIN_CIUDAD,173,45,0,218,79.36,20.64,0.0,2025-09-10T21:13:01.769591,2022,1
YUCATAN,PROGRESO,SIN_CIUDAD,12,13,0,25,48.0,52.0,0.0,2025-09-10T21:13:01.769591,2022,1
YUCATAN,UMAN,SIN_CIUDAD,9,1,0,10,90.0,10.0,0.0,2025-09-10T21:13:01.769591,2022,1
YUCATAN,KANASIN,SIN_CIUDAD,12,8,0,20,60.0,40.0,0.0,2025-09-10T21:13:02.509550,2022,2
YUCATAN,MERIDA,SIN_CIUDAD,152,70,0,222,68.47,31.53,0.0,2025-09-10T21:13:02.509550,2022,2
