NOM_MUN,AVG_PCT_SEGUROS,AVG_PCT_INSEGUROS,N_OBS
MERIDA,74.78411764705882,25.173823529411763,34
UMAN,58.74206896551724,41.25793103448276,29
PROGRESO,57.57676470588235,42.42323529411765,34
KANASIN,48.96941176470588,51.03058823529412,34
