AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,NOM_CD,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2024,1,TLAXCALA,SAN JERONIMO ZACUALPAN,TLAXCALA DE XICOHTENCATL,5,3,2,0,60.0,40.0,0.0
2024,1,TLAXCALA,SAN JUAN HUACTZINCO,TLAXCALA DE XICOHTENCATL,10,6,4,0,60.0,40.0,0.0
2024,1,TLAXCALA,SAN PABLO DEL MONTE,TLAXCALA DE XICOHTENCATL,19,9,10,0,47.37,52.63,0.0
2024,1,TLAXCALA,SANTA CRUZ QUILEHTLA,TLAXCALA DE XICOHTENCATL,10,4,6,0,40.0,60.0,0.0
2024,1,TLAXCALA,SANTA ISABEL XILOXOXTLA,TLAXCALA DE XICOHTENCATL,4,2,2,0,50.0,50.0,0.0
2024,1,TLAXCALA,TEOLOCHOLCO,TLAXCALA DE XICOHTENCATL,9,2,7,0,22.22,77.78,0.0
2024,1,TLAXCALA,TETLA DE LA SOLIDARIDAD,TLAXCALA DE XICOHTENCATL,31,17,14,0,54.84,45.16,0.0
2024,1,TLAXCALA,TLAXCALA,TLAXCALA DE XICOHTENCATL,30,14,16,0,46.67,53.33,0.0
2024,1,TLAXCALA,TOCATLAN,TLAXCALA DE XICOHTENCATL,5,2,3,0,40.0,60.0,0.0
2024,1,TLAXCALA,TOTOLAC,TLAXCALA DE XICOHTENCATL,19,11,8,0,57.89,42.11,0.0
2024,1,TLAXCALA,TZOMPANTEPEC,TLAXCALA DE XICOHTENCATL,10,4,6,0,40.0,60.0,0.0
2024,1,TLAXCALA,XALOZTOC,TLAXCALA DE XICOHTENCATL,9,5,4,0,55.56,44.44,0.0
2024,1,TLAXCALA,XALTOCAN,TLAXCALA DE XICOHTENCATL,4,3,1,0,75.0,25.0,0.0
2024,1,TLAXCALA,YAUHQUEMEHCAN,TLAXCALA DE XICOHTENCATL,3,0,3,0,0.0,100.0,0.0
2024,1,TLAXCALA,ZACATELCO,TLAXCALA DE XICOHTENCATL,23,17,6,0,73.91,26.09,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,BOCA DEL RIO,VERACRUZ,53,32,21,0,60.38,39.62,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS,COATZACOALCOS,244,178,59,7,72.95,24.18,2.87
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,COSOLEACAQUE,COATZACOALCOS,3,2,1,0,66.67,33.33,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,PANUCO,TAMPICO,5,3,2,0,60.0,40.0,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,PUEBLO VIEJO,TAMPICO,16,2,14,0,12.5,87.5,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ,VERACRUZ,180,97,83,0,53.89,46.11,0.0
2024,1,VERACRUZ DE IGNACIO DE LA LLAVE,XALAPA,XALAPA,249,142,106,1,57.03,42.57,0.4
2024,1,YUCATAN,KANASIN,MERIDA,33,8,25,0,24.24,75.76,0.0
2024,1,YUCATAN,MERIDA,MERIDA,216,50,166,0,23.15,76.85,0.0
2024,1,YUCATAN,PROGRESO,MERIDA,8,3,5,0,37.5,62.5,0.0
2024,1,ZACATECAS,FRESNILLO,FRESNILLO,276,260,15,1,94.2,5.43,0.36
2024,1,ZACATECAS,GUADALUPE,ZACATECAS,151,136,14,1,90.07,9.27,0.66
2024,1,ZACATECAS,ZACATECAS,ZACATECAS,120,109,11,0,90.83,9.17,0.0
2024,2,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,254,98,156,0,38.58,61.42,0.0
2024,2,AGUASCALIENTES,JESUS MARIA,AGUASCALIENTES,19,9,10,0,47.37,52.63,0.0
2024,2,BAJA CALIFORNIA,MEXICALI,MEXICALI,258,154,104,0,59.69,40.31,0.0
2024,2,BAJA CALIFORNIA,TIJUANA,TIJUANA,266,184,80,2,69.17,30.08,0.75
2024,2,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,264,63,201,0,23.86,76.14,0.0
2024,2,BAJA CALIFORNIA SUR,LOS CABOS,LOS CABOS,259,45,214,0,17.37,82.63,0.0
2024,2,CAMPECHE,CAMPECHE,SAN FRANCISCO DE CAMPECHE,264,134,129,1,50.76,48.86,0.38
2024,2,CAMPECHE,CARMEN,CIUDAD DEL CARMEN,259,143,115,1,55.21,44.4,0.39
2024,2,CHIAPAS,CHIAPA DE CORZO,TUXTLA GUTIERREZ,22,11,11,0,50.0,50.0,0.0
2024,2,CHIAPAS,TAPACHULA,TAPACHULA,259,215,44,0,83.01,16.99,0.0
2024,2,CHIAPAS,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ,244,192,51,1,78.69,20.9,0.41
2024,2,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,265,130,135,0,49.06,50.94,0.0
2024,2,CHIHUAHUA,JUAREZ,JUAREZ,265,185,78,2,69.81,29.43,0.75
2024,2,CIUDAD DE MEXICO,ALVARO OBREGON,ALVARO OBREGON,260,148,105,7,56.92,40.38,2.69
2024,2,CIUDAD DE MEXICO,AZCAPOTZALCO,AZCAPOTZALCO,261,169,91,1,64.75,34.87,0.38
2024,2,CIUDAD DE MEXICO,BENITO JUAREZ,BENITO JUAREZ,255,41,212,2,16.08,83.14,0.78
2024,2,CIUDAD DE MEXICO,COYOACAN,COYOACAN,260,108,152,0,41.54,58.46,0.0
2024,2,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,CUAJIMALPA DE MORELOS,259,67,191,1,25.87,73.75,0.39
2024,2,CIUDAD DE MEXICO,CUAUHTEMOC,CUAUHTEMOC,266,123,141,2,46.24,53.01,0.75
2024,2,CIUDAD DE MEXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,257,151,104,2,58.75,40.47,0.78
2024,2,CIUDAD DE MEXICO,IZTACALCO,IZTACALCO,262,159,102,1,60.69,38.93,0.38
