"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Área urbana (ciudad) de interés","CD","Carácter",2,"31"
"Área urbana (ciudad) de interés","CD","Carácter",2,"32"
"Área urbana (ciudad) de interés","CD","Carácter",2,"33"
"Área urbana (ciudad) de interés","CD","Carácter",2,"66"
"Área urbana (ciudad) de interés","CD","Carácter",2,"65"
"Área urbana (ciudad) de interés","CD","Carácter",2,"68"
"Área urbana (ciudad) de interés","CD","Carácter",2,"67"
"Área urbana (ciudad) de interés","CD","Carácter",2,"64"
"Área urbana (ciudad) de interés","CD","Carácter",2,"69"
"Área urbana (ciudad) de interés","CD","Carácter",2,"70"
"Área urbana (ciudad) de interés","CD","Carácter",2,"35"
"Área urbana (ciudad) de interés","CD","Carácter",2,"36"
"Área urbana (ciudad) de interés","CD","Carácter",2,"37"
"Área urbana (ciudad) de interés","CD","Carácter",2,"38"
"Área urbana (ciudad) de interés","CD","Carácter",2,"93"
"Área urbana (ciudad) de interés","CD","Carácter",2,"39"
"Área urbana (ciudad) de interés","CD","Carácter",2,"40"
"Área urbana (ciudad) de interés","CD","Carácter",2,"41"
"Área urbana (ciudad) de interés","CD","Carácter",2,"42"
"Área urbana (ciudad) de interés","CD","Carácter",2,"43"
"Área urbana (ciudad) de interés","CD","Carácter",2,"44"
"Área urbana (ciudad) de interés","CD","Carácter",2,"94"
"Área urbana (ciudad) de interés","CD","Carácter",2,"45"
"Área urbana (ciudad) de interés","CD","Carácter",2,"46"
"Área urbana (ciudad) de interés","CD","Carácter",2,"47"
"Área urbana (ciudad) de interés","CD","Carácter",2,"48"
"Área urbana (ciudad) de interés","CD","Carácter",2,"95"
"Área urbana (ciudad) de interés","CD","Carácter",2,"49"
"Área urbana (ciudad) de interés","CD","Carácter",2,"50"
"Área urbana (ciudad) de interés","CD","Carácter",2,"51"
"Área urbana (ciudad) de interés","CD","Carácter",2,"96"
"Área urbana (ciudad) de interés","CD","Carácter",2,"52"
"Área urbana (ciudad) de interés","CD","Carácter",2,"53"
"Área urbana (ciudad) de interés","CD","Carácter",2,"54"
"Nombre del Área urbana (ciudad) de interés","NOM_CD","Texto",250,"Texto mínimo 2 caracteres"
"Resultado definitivo","R_DEF","Carácter",2,"01"
"Hogar mudado","H_MUD","Numérico",1,"0,...,4"
"Seleccionado Mudado ","S_MUD","Numérico",1,"0,...,4"
"Tipo de cuestionario","TIPO_CUEST","Alfanumérico",1,"-"
"Número de entrevista","N_ENT","Numérico",1,"1,...,5"
"Número de renglón","N_REN","Carácter",2,"01,...,30"
"Nombre de integrantes del hogar","NOM","Alfanumérico",1,"-"
"Condición de residencia","C_RES","Numérico",1,"1"
"Condición de residencia","C_RES","Numérico",1,"2"
"Condición de residencia","C_RES","Numérico",1,"3"
"Parentesco con el (la) jefe(a) del Hogar","PAREN","Numérico",1,"1"
"Parentesco con el (la) jefe(a) del Hogar","PAREN","Numérico",1,"2"
"Parentesco con el (la) jefe(a) del Hogar","PAREN","Numérico",1,"3"
