"Encuesta Nacional de Seguridad Pública Urbana 2024 (III Trimestre)",
,
"Nombre de archivo","Título de Tablas"
"conjunto_de_datos_ensu_viv_0924","Cuestionario sociodemográfico sección I y II"
"conjunto_de_datos_ensu_cs_0924","Cuestionario sociodemográfico sección III"
"conjunto_de_datos_ensu_cb_0924","Cuestionario principal de la encuesta sección I, II, III, IV y V"
