AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2023,4,AGUASCALIENTES,AGUASCALIENTES,249,176,72,1,70.68273092369478,28.915662650602407,0.4016064257028112
2023,4,AGUASCALIENTES,JESUS MARIA,19,9,10,0,47.368421052631575,52.63157894736842,0.0
2023,4,BAJA CALIFORNIA,MEXICALI,258,126,131,1,48.837209302325576,50.775193798449614,0.3875968992248062
2023,4,BAJA CALIFORNIA,TIJUANA,259,103,156,0,39.768339768339764,60.231660231660236,0.0
2023,4,BAJA CALIFORNIA SUR,LA PAZ,261,202,57,2,77.39463601532567,21.839080459770116,0.7662835249042145
2023,4,BAJA CALIFORNIA SUR,LOS CABOS,256,196,57,3,76.5625,22.265625,1.171875
2023,4,CAMPECHE,CAMPECHE,270,126,144,0,46.666666666666664,53.333333333333336,0.0
2023,4,CAMPECHE,CARMEN,259,125,134,0,48.26254826254826,51.737451737451735,0.0
2023,4,CHIAPAS,CHIAPA DE CORZO,23,9,14,0,39.130434782608695,60.86956521739131,0.0
2023,4,CHIAPAS,TAPACHULA,261,44,217,0,16.85823754789272,83.14176245210729,0.0
2023,4,CHIAPAS,TUXTLA GUTIERREZ,249,65,183,1,26.104417670682732,73.49397590361446,0.4016064257028112
2023,4,CHIHUAHUA,CHIHUAHUA,265,136,129,0,51.320754716981135,48.679245283018865,0.0
2023,4,CHIHUAHUA,JUAREZ,260,76,181,3,29.230769230769234,69.61538461538461,1.153846153846154
2023,4,CIUDAD DE MEXICO,ALVARO OBREGON,262,95,165,2,36.25954198473282,62.97709923664122,0.7633587786259541
2023,4,CIUDAD DE MEXICO,AZCAPOTZALCO,265,120,141,4,45.28301886792453,53.20754716981132,1.509433962264151
2023,4,CIUDAD DE MEXICO,BENITO JUAREZ,259,223,34,2,86.10038610038609,13.127413127413126,0.7722007722007722
2023,4,CIUDAD DE MEXICO,COYOACAN,259,135,121,3,52.123552123552116,46.71814671814672,1.1583011583011582
2023,4,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,265,184,76,5,69.43396226415094,28.67924528301887,1.8867924528301887
2023,4,CIUDAD DE MEXICO,CUAUHTEMOC,255,115,140,0,45.09803921568628,54.90196078431373,0.0
2023,4,CIUDAD DE MEXICO,GUSTAVO A. MADERO,263,113,148,2,42.96577946768061,56.27376425855514,0.7604562737642585
2023,4,CIUDAD DE MEXICO,IZTACALCO,261,111,149,1,42.5287356321839,57.08812260536399,0.38314176245210724
2023,4,CIUDAD DE MEXICO,IZTAPALAPA,258,101,156,1,39.14728682170542,60.46511627906976,0.3875968992248062
2023,4,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,270,123,146,1,45.55555555555556,54.074074074074076,0.3703703703703704
2023,4,CIUDAD DE MEXICO,MIGUEL HIDALGO,258,135,123,0,52.32558139534884,47.674418604651166,0.0
2023,4,CIUDAD DE MEXICO,MILPA ALTA,275,127,147,1,46.18181818181818,53.45454545454545,0.36363636363636365
2023,4,CIUDAD DE MEXICO,TLAHUAC,259,81,174,4,31.27413127413127,67.18146718146718,1.5444015444015444
2023,4,CIUDAD DE MEXICO,TLALPAN,258,122,135,1,47.286821705426355,52.32558139534884,0.3875968992248062
2023,4,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,264,118,146,0,44.696969696969695,55.3030303030303,0.0
2023,4,CIUDAD DE MEXICO,XOCHIMILCO,265,95,164,6,35.84905660377358,61.886792452830186,2.2641509433962264
2023,4,COAHUILA DE ZARAGOZA,MATAMOROS,19,14,5,0,73.68421052631578,26.31578947368421,0.0
2023,4,COAHUILA DE ZARAGOZA,NAVA,10,8,2,0,80.0,20.0,0.0
2023,4,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,254,206,48,0,81.10236220472441,18.89763779527559,0.0
2023,4,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,24,14,10,0,58.333333333333336,41.66666666666667,0.0
2023,4,COAHUILA DE ZARAGOZA,SALTILLO,242,188,54,0,77.68595041322314,22.31404958677686,0.0
2023,4,COAHUILA DE ZARAGOZA,TORREON,257,170,87,0,66.14785992217898,33.85214007782101,0.0
2023,4,COLIMA,COLIMA,172,46,125,1,26.744186046511626,72.67441860465115,0.5813953488372093
2023,4,COLIMA,MANZANILLO,262,117,144,1,44.656488549618324,54.961832061068705,0.38167938931297707
2023,4,COLIMA,VILLA DE ALVAREZ,99,31,68,0,31.313131313131315,68.68686868686868,0.0
2023,4,DURANGO,DURANGO,256,178,77,1,69.53125,30.078125,0.390625
2023,4,DURANGO,GOMEZ PALACIO,80,46,34,0,57.49999999999999,42.5,0.0
2023,4,DURANGO,LERDO,16,6,10,0,37.5,62.5,0.0
2023,4,ESTADO DE MEXICO,ALMOLOYA DE JUAREZ,5,1,4,0,20.0,80.0,0.0
2023,4,ESTADO DE MEXICO,ATIZAPAN DE ZARAGOZA,268,110,158,0,41.04477611940299,58.95522388059702,0.0
2023,4,ESTADO DE MEXICO,CHIMALHUACAN,274,61,213,0,22.26277372262774,77.73722627737226,0.0
2023,4,ESTADO DE MEXICO,CUAUTITLAN IZCALLI,261,71,190,0,27.203065134099617,72.79693486590038,0.0
2023,4,ESTADO DE MEXICO,ECATEPEC DE MORELOS,260,32,228,0,12.307692307692308,87.6923076923077,0.0
2023,4,ESTADO DE MEXICO,LERMA,10,1,9,0,10.0,90.0,0.0
2023,4,ESTADO DE MEXICO,METEPEC,34,10,24,0,29.411764705882355,70.58823529411765,0.0
2023,4,ESTADO DE MEXICO,NAUCALPAN DE JUAREZ,262,28,234,0,10.687022900763358,89.31297709923665,0.0
2023,4,ESTADO DE MEXICO,NEZAHUALCOYOTL,274,116,158,0,42.33576642335766,57.66423357664233,0.0
2023,4,ESTADO DE MEXICO,SAN MATEO ATENCO,16,5,11,0,31.25,68.75,0.0
2023,4,ESTADO DE MEXICO,TLALNEPANTLA DE BAZ,265,70,195,0,26.41509433962264,73.58490566037736,0.0
2023,4,ESTADO DE MEXICO,TOLUCA,168,27,141,0,16.071428571428573,83.92857142857143,0.0
2023,4,ESTADO DE MEXICO,ZINACANTEPEC,33,6,27,0,18.181818181818183,81.81818181818183,0.0
2023,4,GUANAJUATO,GUANAJUATO,268,109,159,0,40.67164179104478,59.32835820895522,0.0
2023,4,GUANAJUATO,IRAPUATO,279,45,234,0,16.129032258064516,83.87096774193549,0.0
2023,4,GUANAJUATO,LEON,253,55,198,0,21.73913043478261,78.26086956521739,0.0
2023,4,GUANAJUATO,PURISIMA DEL RINCON,5,1,4,0,20.0,80.0,0.0
2023,4,GUANAJUATO,SAN FRANCISCO DEL RINCON,20,2,18,0,10.0,90.0,0.0
2023,4,GUERRERO,CHILPANCINGO DE LOS BRAVO,258,53,205,0,20.54263565891473,79.45736434108527,0.0
2023,4,GUERRERO,ZIHUATANEJO DE AZUETA,263,92,167,4,34.98098859315589,63.49809885931559,1.520912547528517
2023,4,HIDALGO,MINERAL DE LA REFORMA,66,36,30,0,54.54545454545454,45.45454545454545,0.0
2023,4,HIDALGO,PACHUCA DE SOTO,189,109,80,0,57.67195767195767,42.32804232804233,0.0
