NOM_ENT,NOM_MUN,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
AGUASCALIENTES,AGUASCALIENTES,254,128,124,2,50.39370078740157,48.818897637795274,0.7874015748031495,2021,Q1
AGUASCALIENTES,JESUS MARIA,17,8,9,0,47.05882352941176,52.94117647058824,0.0,2021,Q1
BAJA CALIFORNIA,MEXICALI,257,111,145,1,43.190661478599225,56.42023346303502,0.38910505836575876,2021,Q1
BAJA CALIFORNIA,TIJUANA,269,61,208,0,22.676579925650557,77.32342007434944,0.0,2021,Q1
BAJA CALIFORNIA SUR,LA PAZ,260,165,92,3,63.46153846153846,35.38461538461539,1.153846153846154,2021,Q1
BAJA CALIFORNIA SUR,LOS CABOS,257,190,59,8,73.92996108949417,22.957198443579767,3.11284046692607,2021,Q1
CAMPECHE,CAMPECHE,264,151,112,1,57.1969696969697,42.42424242424242,0.3787878787878788,2021,Q1
CAMPECHE,CARMEN,262,90,168,4,34.35114503816794,64.12213740458014,1.5267175572519083,2021,Q1
CHIAPAS,CHIAPA DE CORZO,24,12,12,0,50.0,50.0,0.0,2021,Q1
CHIAPAS,TAPACHULA,268,77,191,0,28.73134328358209,71.26865671641791,0.0,2021,Q1
CHIAPAS,TUXTLA GUTIERREZ,247,60,187,0,24.291497975708502,75.7085020242915,0.0,2021,Q1
CHIHUAHUA,CHIHUAHUA,265,129,136,0,48.679245283018865,51.320754716981135,0.0,2021,Q1
CHIHUAHUA,JUAREZ,272,59,213,0,21.691176470588236,78.30882352941177,0.0,2021,Q1
CIUDAD DE MEXICO,ALVARO OBREGON,269,43,224,2,15.985130111524162,83.27137546468401,0.7434944237918215,2021,Q1
CIUDAD DE MEXICO,AZCAPOTZALCO,259,66,189,4,25.482625482625483,72.97297297297297,1.5444015444015444,2021,Q1
CIUDAD DE MEXICO,BENITO JUAREZ,248,165,83,0,66.53225806451613,33.46774193548387,0.0,2021,Q1
CIUDAD DE MEXICO,COYOACAN,259,131,126,2,50.57915057915058,48.64864864864865,0.7722007722007722,2021,Q1
