AÑO,TRIMESTRE,ENT_CODE,MUN_CODE,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2015,1,1,14,49,7,42,0,14.285714285714285,85.71428571428571,0.0
2015,1,10,26,39,16,23,0,41.02564102564102,58.97435897435898,0.0
2015,1,11,5,72,12,60,0,16.666666666666664,83.33333333333334,0.0
2015,1,12,13,44,0,44,0,0.0,100.0,0.0
2015,1,13,43,42,29,13,0,69.04761904761905,30.952380952380953,0.0
2015,1,14,2,227,53,173,1,23.348017621145374,76.2114537444934,0.4405286343612335
2015,1,15,1,122,14,108,0,11.475409836065573,88.52459016393442,0.0
2015,1,15,16,42,0,42,0,0.0,100.0,0.0
2015,1,16,15,42,9,33,0,21.428571428571427,78.57142857142857,0.0
2015,1,17,29,48,2,46,0,4.166666666666666,95.83333333333334,0.0
2015,1,18,27,43,29,14,0,67.44186046511628,32.55813953488372,0.0
2015,1,19,3,219,89,130,0,40.63926940639269,59.3607305936073,0.0
2015,1,2,21,39,12,27,0,30.76923076923077,69.23076923076923,0.0
2015,1,20,31,45,6,39,0,13.333333333333334,86.66666666666667,0.0
2015,1,21,4,58,29,29,0,50.0,50.0,0.0
2015,1,22,36,41,20,21,0,48.78048780487805,51.21951219512195,0.0
2015,1,23,41,42,8,34,0,19.047619047619047,80.95238095238095,0.0
2015,1,24,7,36,14,22,0,38.88888888888889,61.111111111111114,0.0
2015,1,25,24,44,10,34,0,22.727272727272727,77.27272727272727,0.0
2015,1,26,25,41,21,20,0,51.21951219512195,48.78048780487805,0.0
2015,1,27,18,39,3,36,0,7.6923076923076925,92.3076923076923,0.0
2015,1,28,10,41,9,32,0,21.951219512195124,78.04878048780488,0.0
2015,1,29,39,33,13,20,0,39.39393939393939,60.60606060606061,0.0
2015,1,3,40,34,7,27,0,20.588235294117645,79.41176470588235,0.0
2015,1,30,12,45,6,39,0,13.333333333333334,86.66666666666667,0.0
2015,1,31,8,38,26,12,0,68.42105263157895,31.57894736842105,0.0
2015,1,32,32,37,15,22,0,40.54054054054054,59.45945945945946,0.0
2015,1,4,28,34,21,13,0,61.76470588235294,38.23529411764706,0.0
2015,1,5,17,46,23,23,0,50.0,50.0,0.0
2015,1,6,33,45,36,9,0,80.0,20.0,0.0
2015,1,7,19,46,22,24,0,47.82608695652174,52.17391304347826,0.0
2015,1,8,9,40,11,29,0,27.500000000000004,72.5,0.0
2015,1,9,1,212,64,148,0,30.18867924528302,69.81132075471697,0.0
